subject,body,label
Urgent: Your PayPal account has been restricted,"Dear Customer, We detected unauthorized sign-in attempts on your PayPal account from an unrecognized IP address. To protect your funds, access has been restricted. You must verify your credentials immediately at http://paypal-security-verification.xyz/login or your account will be permanently suspended within 24 hours. Failure to act will result in asset liquidation. Enter your full login credentials, PIN, and debit card number.",1
[URGENT] Urgent: Your PayPal account has been restricted,"High Priority Alert:

Dear Customer, We detected unauthorized sign-in attempts on your PayPal account from an unrecognized IP address. To protect your funds, access has been restricted. You must verify your credentials immediately at http://paypal-security-verification.xyz/login or your account will be permanently suspended within 24 hours. Failure to act will result in asset liquidation. Enter your full login credentials, PIN, and debit card number.

Immediate compliance is required by security policy.",1
ATTENTION: Urgent: Your PayPal account has been restricted,"Notice ID: #SEC-12394
Dear Customer, We detected unauthorized sign-in attempts on your PayPal account from an unrecognized IP address. To protect your funds, access has been restricted. You must verify your credentials immediately at http://paypal-security-verification.xyz/login or your account will be permanently suspended within 24 hours. Failure to act will result in asset liquidation. Enter your full login credentials, PIN, and debit card number.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Urgent: Your PayPal account has been restricted,"Final notice before administrative suspension.
Dear Customer, We detected unauthorized sign-in attempts on your PayPal account from an unrecognized IP address. To protect your funds, access has been restricted. You must verify your credentials immediately at http://paypal-security-verification.xyz/login or your account will be permanently suspended within 24 hours. Failure to act will result in asset liquidation. Enter your full login credentials, PIN, and debit card number.",1
Action Required: Urgent: Your PayPal account has been restricted,"Dear User,

Please review the following notice immediately:

Dear Customer, We detected unauthorized sign-in attempts on your PayPal account from an unrecognized IP address. To protect your funds, access has been restricted. You must verify your credentials immediately at http://paypal-security-verification.xyz/login or your account will be permanently suspended within 24 hours. Failure to act will result in asset liquidation. Enter your full login credentials, PIN, and debit card number.

Thank you,
Account Services",1
Security Alert: Unauthorized login attempt detected,"A sign-in attempt from Russia was detected on your Microsoft Office 365 account. If this was not you, please verify your identity immediately by visiting our secure portal: http://192.168.1.105/owa/auth/logon.aspx?replace=true. Do not delay, your corporate mailbox will be blocked within 2 hours. Regards, IT Security Team.",1
[URGENT] Security Alert: Unauthorized login attempt detected,"High Priority Alert:

A sign-in attempt from Russia was detected on your Microsoft Office 365 account. If this was not you, please verify your identity immediately by visiting our secure portal: http://192.168.1.105/owa/auth/logon.aspx?replace=true. Do not delay, your corporate mailbox will be blocked within 2 hours. Regards, IT Security Team.

Immediate compliance is required by security policy.",1
ATTENTION: Security Alert: Unauthorized login attempt detected,"Notice ID: #SEC-31845
A sign-in attempt from Russia was detected on your Microsoft Office 365 account. If this was not you, please verify your identity immediately by visiting our secure portal: http://192.168.1.105/owa/auth/logon.aspx?replace=true. Do not delay, your corporate mailbox will be blocked within 2 hours. Regards, IT Security Team.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Security Alert: Unauthorized login attempt detected,"Final notice before administrative suspension.
A sign-in attempt from Russia was detected on your Microsoft Office 365 account. If this was not you, please verify your identity immediately by visiting our secure portal: http://192.168.1.105/owa/auth/logon.aspx?replace=true. Do not delay, your corporate mailbox will be blocked within 2 hours. Regards, IT Security Team.",1
Action Required: Security Alert: Unauthorized login attempt detected,"Dear User,

Please review the following notice immediately:

A sign-in attempt from Russia was detected on your Microsoft Office 365 account. If this was not you, please verify your identity immediately by visiting our secure portal: http://192.168.1.105/owa/auth/logon.aspx?replace=true. Do not delay, your corporate mailbox will be blocked within 2 hours. Regards, IT Security Team.

Thank you,
Account Services",1
Action Required: Your Netflix membership is on hold,We were unable to validate your billing details for the next subscription period. Update your credit card and billing address immediately to avoid account cancellation. Click here to confirm payment details: http://netflix-billing-update.top/account/verify. Enter card CVV and expiration date.,1
[URGENT] Action Required: Your Netflix membership is on hold,"High Priority Alert:

We were unable to validate your billing details for the next subscription period. Update your credit card and billing address immediately to avoid account cancellation. Click here to confirm payment details: http://netflix-billing-update.top/account/verify. Enter card CVV and expiration date.

Immediate compliance is required by security policy.",1
ATTENTION: Action Required: Your Netflix membership is on hold,"Notice ID: #SEC-57729
We were unable to validate your billing details for the next subscription period. Update your credit card and billing address immediately to avoid account cancellation. Click here to confirm payment details: http://netflix-billing-update.top/account/verify. Enter card CVV and expiration date.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Action Required: Your Netflix membership is on hold,"Final notice before administrative suspension.
We were unable to validate your billing details for the next subscription period. Update your credit card and billing address immediately to avoid account cancellation. Click here to confirm payment details: http://netflix-billing-update.top/account/verify. Enter card CVV and expiration date.",1
Action Required: Action Required: Your Netflix membership is on hold,"Dear User,

Please review the following notice immediately:

We were unable to validate your billing details for the next subscription period. Update your credit card and billing address immediately to avoid account cancellation. Click here to confirm payment details: http://netflix-billing-update.top/account/verify. Enter card CVV and expiration date.

Thank you,
Account Services",1
Apple ID Notice: Your account was accessed from a new device,Your Apple ID was recently used to sign in to iCloud on an unrecognized Windows device. Your account has been temporarily locked to safeguard personal information. Verify your account at http://appleid-apple-support.icu/recovery to restore full access. Failure to verify will result in iCloud data purge.,1
[URGENT] Apple ID Notice: Your account was accessed from a new device,"High Priority Alert:

Your Apple ID was recently used to sign in to iCloud on an unrecognized Windows device. Your account has been temporarily locked to safeguard personal information. Verify your account at http://appleid-apple-support.icu/recovery to restore full access. Failure to verify will result in iCloud data purge.

Immediate compliance is required by security policy.",1
ATTENTION: Apple ID Notice: Your account was accessed from a new device,"Notice ID: #SEC-71306
Your Apple ID was recently used to sign in to iCloud on an unrecognized Windows device. Your account has been temporarily locked to safeguard personal information. Verify your account at http://appleid-apple-support.icu/recovery to restore full access. Failure to verify will result in iCloud data purge.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Apple ID Notice: Your account was accessed from a new device,"Final notice before administrative suspension.
Your Apple ID was recently used to sign in to iCloud on an unrecognized Windows device. Your account has been temporarily locked to safeguard personal information. Verify your account at http://appleid-apple-support.icu/recovery to restore full access. Failure to verify will result in iCloud data purge.",1
Action Required: Apple ID Notice: Your account was accessed from a new device,"Dear User,

Please review the following notice immediately:

Your Apple ID was recently used to sign in to iCloud on an unrecognized Windows device. Your account has been temporarily locked to safeguard personal information. Verify your account at http://appleid-apple-support.icu/recovery to restore full access. Failure to verify will result in iCloud data purge.

Thank you,
Account Services",1
Google Workspace: Storage quota exceeded - incoming emails blocked,Your Google Workspace mailbox has exceeded 99.8% capacity. You have 14 incoming emails pending delivery. Click here immediately to add 25GB free storage: http://google-drive-quota-upgrade.club/auth/upgrade. You will need to log in with your admin password to authorize the quota extension.,1
[URGENT] Google Workspace: Storage quota exceeded - incoming emails blocked,"High Priority Alert:

Your Google Workspace mailbox has exceeded 99.8% capacity. You have 14 incoming emails pending delivery. Click here immediately to add 25GB free storage: http://google-drive-quota-upgrade.club/auth/upgrade. You will need to log in with your admin password to authorize the quota extension.

Immediate compliance is required by security policy.",1
ATTENTION: Google Workspace: Storage quota exceeded - incoming emails blocked,"Notice ID: #SEC-87691
Your Google Workspace mailbox has exceeded 99.8% capacity. You have 14 incoming emails pending delivery. Click here immediately to add 25GB free storage: http://google-drive-quota-upgrade.club/auth/upgrade. You will need to log in with your admin password to authorize the quota extension.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Google Workspace: Storage quota exceeded - incoming emails blocked,"Final notice before administrative suspension.
Your Google Workspace mailbox has exceeded 99.8% capacity. You have 14 incoming emails pending delivery. Click here immediately to add 25GB free storage: http://google-drive-quota-upgrade.club/auth/upgrade. You will need to log in with your admin password to authorize the quota extension.",1
